# Hoverboard test (1048576 1 1000000000)
# time(ns),sleep_time(ns),repetitions
1338658,1000000000,1
237409,1000000000,1
140008,1000000000,1
168909,1000000000,1
169108,1000000000,1
165709,1000000000,1
136807,1000000000,1
145207,1000000000,1
167509,1000000000,1
137708,1000000000,1
135600,1000000000,1
142398,1000000000,1
165909,1000000000,1
136008,1000000000,1
139007,1000000000,1
136308,1000000000,1
138108,1000000000,1
136608,1000000000,1
134208,1000000000,1
162610,1000000000,1
144208,1000000000,1
145607,1000000000,1
134607,1000000000,1
139407,1000000000,1
149009,1000000000,1
137208,1000000000,1
136907,1000000000,1
138308,1000000000,1
135308,1000000000,1
139107,1000000000,1
# Hoverboard test (1048576 1 1000000)
# time(ns),sleep_time(ns),repetitions
1299376,1000000,1
121907,1000000,1
108605,1000000,1
108506,1000000,1
109106,1000000,1
108806,1000000,1
114506,1000000,1
108907,1000000,1
118707,1000000,1
108706,1000000,1
109006,1000000,1
109206,1000000,1
109006,1000000,1
108706,1000000,1
109306,1000000,1
108805,1000000,1
108605,1000000,1
125106,1000000,1
108607,1000000,1
117805,1000000,1
108807,1000000,1
113705,1000000,1
109706,1000000,1
113306,1000000,1
114706,1000000,1
108307,1000000,1
108305,1000000,1
108506,1000000,1
108805,1000000,1
108407,1000000,1
# Hoverboard test (1048576 1 1000)
# time(ns),sleep_time(ns),repetitions
1306375,1000,1
121707,1000,1
108105,1000,1
107406,1000,1
109406,1000,1
107506,1000,1
107307,1000,1
108005,1000,1
107905,1000,1
108107,1000,1
108106,1000,1
107705,1000,1
107705,1000,1
107906,1000,1
108007,1000,1
118105,1000,1
107705,1000,1
107305,1000,1
107807,1000,1
107406,1000,1
107906,1000,1
107706,1000,1
108505,1000,1
108005,1000,1
107906,1000,1
107806,1000,1
107606,1000,1
107106,1000,1
107406,1000,1
107106,1000,1
# Hoverboard test (1048576 1 1)
# time(ns),sleep_time(ns),repetitions
1318377,1,1
120906,1,1
107705,1,1
108306,1,1
108206,1,1
107705,1,1
108105,1,1
107306,1,1
108005,1,1
117307,1,1
108106,1,1
107707,1,1
107906,1,1
108605,1,1
108006,1,1
107606,1,1
107806,1,1
121507,1,1
108706,1,1
107806,1,1
108107,1,1
110005,1,1
108106,1,1
107805,1,1
108005,1,1
107807,1,1
108106,1,1
113906,1,1
108206,1,1
108106,1,1
# Hoverboard test (1048576 1 0)
# time(ns),sleep_time(ns),repetitions
1305176,0,1
139308,0,1
108305,0,1
110306,0,1
107806,0,1
108306,0,1
107906,0,1
107706,0,1
107507,0,1
107806,0,1
113406,0,1
107705,0,1
108005,0,1
108207,0,1
107605,0,1
107606,0,1
108107,0,1
107606,0,1
107806,0,1
114405,0,1
108107,0,1
109805,0,1
108305,0,1
107906,0,1
111205,0,1
107407,0,1
108206,0,1
107305,0,1
110906,0,1
108305,0,1
# Hoverboard test (1048576 1 2)
# time(ns),sleep_time(ns),repetitions
1302976,2,1
121406,2,1
108805,2,1
107705,2,1
108106,2,1
108606,2,1
112007,2,1
110806,2,1
108207,2,1
107906,2,1
107806,2,1
107506,2,1
107806,2,1
107406,2,1
107706,2,1
116405,2,1
107906,2,1
114406,2,1
107705,2,1
108106,2,1
108207,2,1
107806,2,1
107805,2,1
107807,2,1
108206,2,1
108907,2,1
107806,2,1
107705,2,1
107807,2,1
109805,2,1
# Hoverboard test (1048576 1 1001)
# time(ns),sleep_time(ns),repetitions
1281475,1001,1
121007,1001,1
107906,1001,1
108105,1001,1
114206,1001,1
107505,1001,1
107406,1001,1
108805,1001,1
107607,1001,1
107805,1001,1
107506,1001,1
107505,1001,1
109806,1001,1
109206,1001,1
108106,1001,1
109207,1001,1
111305,1001,1
107406,1001,1
107306,1001,1
107307,1001,1
107406,1001,1
107606,1001,1
115407,1001,1
107706,1001,1
107705,1001,1
110807,1001,1
107806,1001,1
107505,1001,1
107506,1001,1
107705,1001,1
# Hoverboard test (1048576 1 1000001)
# time(ns),sleep_time(ns),repetitions
1330377,1000001,1
124206,1000001,1
108606,1000001,1
109205,1000001,1
108306,1000001,1
115206,1000001,1
108406,1000001,1
108006,1000001,1
108307,1000001,1
108205,1000001,1
108606,1000001,1
109006,1000001,1
108306,1000001,1
108605,1000001,1
108306,1000001,1
108506,1000001,1
108505,1000001,1
109107,1000001,1
108106,1000001,1
108205,1000001,1
109207,1000001,1
112707,1000001,1
121706,1000001,1
109107,1000001,1
107806,1000001,1
107806,1000001,1
108007,1000001,1
111206,1000001,1
108706,1000001,1
108207,1000001,1
# Hoverboard test (1048576 1 1000000001)
# time(ns),sleep_time(ns),repetitions
1294575,1000000001,1
234513,1000000001,1
141508,1000000001,1
171609,1000000001,1
166010,1000000001,1
171310,1000000001,1
138907,1000000001,1
147608,1000000001,1
169209,1000000001,1
139007,1000000001,1
139007,1000000001,1
135608,1000000001,1
168509,1000000001,1
140307,1000000001,1
139307,1000000001,1
148609,1000000001,1
140707,1000000001,1
138308,1000000001,1
142808,1000000001,1
169910,1000000001,1
136106,1000000001,1
143107,1000000001,1
140808,1000000001,1
139808,1000000001,1
135708,1000000001,1
140607,1000000001,1
141507,1000000001,1
140809,1000000001,1
135907,1000000001,1
140907,1000000001,1
