# size n PRTT(1,0,s) PRTT(n,0,s) PRTT(n,PRTT(1,0,s),s) L o_s o_r g G lsqu(g,G)
# to get o: plot "./loggp.out" using 1:(($5-$3)/($2-1)-$3)
# to get g,G: plot "./loggp.out" using 1:($4-$3)/($2-1)
1 10 3.500000 6.100000 35.901000 1.750000 0.100111 0.233556 -nan -nan -nan
1025 10 6.301000 10.700000 64.203000 1.750000 0.132556 0.588333 0.288694 0.000195 -nan
2049 10 7.300000 12.400000 73.704000 1.750000 0.078222 0.644889 0.309087 0.000136 0.049806
3073 10 7.901000 12.999000 80.204000 1.750000 0.132667 0.732667 0.341022 0.000089 0.071089
4097 10 9.100000 14.601000 91.605000 1.750000 0.067222 0.767111 0.359863 0.000071 0.067454
5121 10 9.499000 15.501000 95.905000 1.750000 0.101667 0.845889 0.370196 0.000063 0.061338
6145 10 10.000000 16.601000 101.406000 1.750000 0.156222 0.922667 0.374440 0.000060 0.055411
7169 10 10.500000 17.401000 106.406000 1.750000 0.156222 0.989444 0.381332 0.000057 0.052199
8193 10 10.801000 18.100000 110.206000 1.750000 0.244000 1.088556 0.387306 0.000055 0.049664
9217 10 11.600000 21.900000 119.707000 1.750000 0.411889 1.333889 0.350403 0.000068 0.086144
10241 10 11.000000 22.401000 114.506000 1.750000 0.500667 1.400667 0.320589 0.000078 0.101070
11265 10 12.100000 23.600000 124.707000 1.750000 0.411889 1.522889 0.310290 0.000081 0.098227
12289 10 12.400000 24.201000 127.507000 1.750000 0.389667 1.578444 0.309410 0.000081 0.093674
13313 10 11.701000 25.102000 121.807000 1.750000 0.533000 1.677444 0.297976 0.000084 0.093075
14337 10 12.700000 25.700000 130.907000 1.750000 0.434111 1.734000 0.304061 0.000083 0.090446
15361 10 12.101000 26.300000 126.606000 1.750000 0.621778 1.810667 0.303428 0.000083 0.087168
16385 10 13.000000 27.102000 134.607000 1.750000 0.511889 1.867333 0.312318 0.000081 0.086726
17409 10 12.900000 31.201000 135.908000 1.750000 0.767556 2.222889 0.283063 0.000086 0.109127
