#size	rtt
1	1152.066500
1	206.061500
1	213.312000
1	186.210500
1	190.210500
1	401.073000
1	387.772000
1	197.161500
1	419.774000
1	182.911000
1	406.573500
1	418.674000
1	186.160500
1	184.511000
1	378.072000
1	393.872500
1	187.460500
1	398.623000
1	388.822500
1	186.010500
1	403.423000
1	187.110500
1	187.210000
1	186.010500
1	185.260000
1	392.123000
1	185.760500
1	193.960500
1	401.723000
1	420.124500
1	392.422000
1	424.774500
1	192.061000
1	186.410500
1	211.061500
1	185.611000
1	187.710500
1	404.023500
1	417.323500
1	391.673000
1	181.510500
1	185.510000
1	416.274500
1	185.460000
1	399.273000
1	192.610500
1	185.861000
1	184.460500
1	185.910500
1	389.222000
1	390.322500
1	390.922000
1	390.122500
1	391.172000
1	393.972500
1	194.461000
1	198.861500
1	388.672000
1	185.210000
1	400.773000
1	388.922000
1	393.472500
1	185.760500
1	191.811000
1	185.911000
1	409.824000
1	390.673000
1	392.922500
1	185.510500
1	186.511000
1	404.973000
1	392.522500
1	426.325000
1	389.122000
1	186.760500
1	185.611000
1	186.210000
1	184.111000
1	187.060500
1	602.985000
1	184.961000
1	399.373000
1	186.811000
1	181.810500
1	183.010500
1	186.910500
1	183.610500
1	191.311000
1	184.960000
1	182.661000
1	401.273000
1	184.460500
1	182.560000
1	383.622000
1	180.910000
1	404.723500
1	186.111000
1	181.910500
1	184.661000
1	393.423000
1	183.860500
1	184.210500
1	382.522000
1	186.861000
1	183.411000
1	182.260500
1	184.410500
1	183.911000
1	183.260000
1	183.260500
1	404.823500
1	183.910500
1	183.110000
1	380.622500
1	186.010500
1	184.061000
1	184.110500
1	195.211500
1	184.661000
1	182.510500
1	422.224000
1	417.274000
1	187.910500
1	399.272500
1	183.661000
1	189.511000
1	406.473000
1	390.722500
1	184.760500
1	184.860500
1	183.960500
1	391.972500
1	391.722500
1	193.461000
1	185.710500
1	183.811000
1	382.172000
1	185.711000
1	186.061000
1	184.410500
1	182.960500
1	184.911000
1	420.524000
1	189.260500
1	384.972000
1	391.522000
1	183.360500
1	181.960000
1	381.272500
1	390.722000
1	183.510500
1	408.073000
1	386.872500
1	394.572500
1	390.322000
1	187.561000
1	187.211000
1	408.273500
1	184.060000
1	401.923500
1	185.411000
1	398.973000
1	392.322500
1	187.411000
1	405.173500
1	384.822500
1	185.060500
1	185.660500
1	187.861000
1	184.911000
1	394.623000
1	185.761000
1	400.473000
1	423.774000
1	390.022500
1	181.860500
1	408.223500
1	184.810500
1	195.611500
1	397.723000
1	426.425000
1	390.073000
1	185.660500
1	184.960500
1	385.722000
1	184.561000
1	394.522500
1	392.172000
1	185.411000
1	398.723500
1	188.410500
1	399.223000
1	393.122500
1	390.023000
1	187.510500
1	433.375000
1	381.071500
1	393.723000
1	389.173000
1	393.523000
1	192.511000
1	822.297500
1	391.623000
1	397.172500
1	428.774500
1	410.373500
1	428.074500
1	421.574000
1	390.272500
1	188.560500
1	406.874000
1	418.774000
1	390.673000
1	186.611000
1	183.460500
1	187.510500
1	386.172500
1	184.510500
1	402.373000
1	399.272500
1	184.611000
1	391.873000
1	186.960500
1	185.960500
1	409.374000
1	187.061000
1	398.422500
1	184.811000
1	188.711000
1	187.410500
1	186.110500
1	187.661000
1	397.423000
1	184.610500
1	404.924000
1	184.960500
1	185.160500
1	409.074000
1	390.322000
1	393.223000
1	391.173000
1	184.660500
1	403.423500
1	389.372500
1	187.660000
1	396.523500
1	184.660000
1	403.823500
1	386.923000
1	391.872500
1	391.472500
1	183.661000
1	186.160000
1	414.724500
1	183.660500
1	190.860500
1	404.373500
1	185.210500
1	186.710000
1	405.974000
1	188.561000
1	188.460500
1	404.073000
1	392.572500
1	181.610000
1	408.173500
1	187.210000
1	188.711000
1	404.423000
1	183.210000
1	397.323000
1	187.760500
1	184.660000
1	412.273500
1	389.022500
1	393.673000
1	391.872500
1	187.160500
1	400.123500
1	184.710500
1	403.223000
1	187.110500
1	395.173000
1	185.410000
1	402.073000
1	425.975000
1	188.010500
1	192.361000
1	398.873500
1	184.961000
1	401.922500
1	184.210500
1	186.111000
1	411.474000
1	183.810000
1	396.573000
1	395.323000
1	189.160500
1	193.961500
1	398.623500
1	185.110500
1	397.923500
1	186.110500
1	187.661000
1	406.773500
1	392.272500
1	185.210500
1	401.323500
1	184.611000
1	187.310000
1	410.373500
1	186.511000
1	185.460500
1	407.323500
1	189.160500
1	183.661000
1	188.110500
1	184.460000
1	185.360500
1	183.610500
1	413.874000
1	446.225500
1	417.774000
1	380.021500
1	388.672500
1	391.522500
1	187.411000
