#size	rtt
1	2.699500
1	2.750000
1	2.700000
1	2.700000
1	2.649500
1	2.700500
1	2.749500
1	2.699500
1	2.700000
1	2.700500
1	2.700500
1	2.649500
1	2.699500
1	2.699500
1	2.700500
1	2.650000
1	2.699500
1	2.649500
1	2.700000
1	2.649500
1	2.700000
1	2.699500
1	2.700000
1	2.700000
1	2.699500
1	2.649500
1	2.700000
1	2.699500
1	2.700500
1	2.800000
1	2.749500
1	2.750000
1	2.750000
1	2.800000
1	2.800500
1	2.699500
1	2.750000
1	2.749500
1	2.749500
1	2.750000
1	2.749500
1	2.799500
1	2.749500
1	2.750000
1	2.800500
1	2.750000
1	2.800500
1	2.700000
1	2.749500
1	2.700500
1	2.700000
1	2.800000
1	2.699500
1	2.700000
1	2.700000
1	2.749500
1	2.800500
1	2.749500
1	2.649500
1	2.649500
1	2.749500
1	2.849500
1	2.700500
1	2.700000
1	2.700000
1	2.700000
1	2.800000
1	2.749500
1	2.750000
1	2.699500
1	2.699500
1	2.700500
1	2.749500
1	2.750000
1	2.700000
1	2.749500
1	2.700000
1	2.699500
1	2.649500
1	2.700000
1	2.850500
1	2.750000
1	2.700000
1	2.700000
1	2.699500
1	2.700000
1	2.750500
1	2.749500
1	2.749500
1	2.750500
1	2.750000
1	2.749500
1	2.750000
1	2.700000
1	2.750000
1	2.750000
1	2.749500
1	2.750000
1	2.750000
1	2.749500
1	2.749500
1	2.700500
1	2.700000
1	2.749500
1	2.749500
1	2.750000
1	2.700000
1	2.700000
1	2.650000
1	2.899500
1	2.650000
1	2.700000
1	1672.747500
1	2.749500
1	2.699500
1	2.700500
1	2.699500
1	2.699500
1	2.750000
1	2.749500
1	2.700000
1	2.700500
1	2.700000
1	2.699500
1	2.749500
1	2.700500
1	2.700000
1	2.700000
1	2.700000
1	2.749500
1	2.750000
1	2.649500
1	2.850000
1	2.700500
1	2.749500
1	2.700000
1	2.750000
1	2.649500
1	2.699500
1	2.649500
1	2.700500
1	2.749500
1	2.649500
1	2.750000
1	2.749500
1	2.700000
1	2.699500
1	2.749500
1	2.700000
1	2.700000
1	2.649500
1	2.750000
1	2.700000
1	2.749500
1	2.650000
1	2.699500
1	2.699500
1	2.700000
1	2.900000
1	2.750000
1	2.800500
1	2.700000
1	2.699500
1	2.750500
1	2.700000
1	2.749500
1	2.700500
1	2.749500
1	2.700000
1	2.750500
1	2.649500
1	2.700000
1	2.650000
1	2.749500
1	2.700000
1	2.749500
1	2.700000
1	2.749500
1	2.649500
1	2.750500
1	2.699500
1	2.700000
1	2.700500
1	2.700000
1	2.749500
1	2.650000
1	2.649500
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.750000
1	2.650000
1	2.750000
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.700500
1	2.750000
1	2.750000
1	2.750000
1	2.699500
1	2.750500
1	2.750000
1	2.700000
1	2.700500
1	2.700500
1	2.749500
1	2.700000
1	2.750500
1	2.900000
1	2.700000
1	2.749500
1	2.700000
1	2.750500
1	2.649500
1	2.700500
1	2.700000
1	2.750000
1	2.700000
1	2.700000
1	2.700000
1	2.700500
1	2.649500
1	2.699500
1	2.700000
1	2.700000
1	2.750000
1	2.699500
1	2.700500
1	3.849500
1	2.700000
1	2.649500
1	2.700000
1	2.700000
1	2.700500
1	2.750000
1	2.649500
1	2.750500
1	2.649500
1	2.750000
1	2.750000
1	2.750000
1	2.700000
1	2.750500
1	2.649500
1	2.700000
1	2.750500
1	2.700000
1	2.700000
1	2.700500
1	2.700000
1	2.649500
1	2.650000
1	2.649500
1	2.649500
1	2.750500
1	2.750000
1	2.750000
1	2.750500
1	2.649500
1	2.749500
1	2.750000
1	2.649500
1	2.700000
1	2.700500
1	2.749500
1	2.699500
1	2.750000
1	2.700000
1	2.750000
1	2.750500
1	2.750000
1	2.700000
1	2.700500
1	2.750000
1	2.699500
1	2.900000
1	2.700500
1	2.750000
1	2.700000
1	2.700500
1	2.700000
1	2.649500
1	2.800500
1	2.700000
1	2.749500
1	2.700500
1	2.649500
1	2.649500
1	2.800500
1	2.749500
1	2.900000
1	2.750500
1	2.750000
1	2.749500
1	2.700500
1	2.700000
1	2.749500
1	2.700000
1	2.750000
1	2.700000
1	2.700000
1	2.700000
1	2.700500
1	2.649500
1	2.649500
1	2.699500
1	2.700000
1	2.650000
1	2.750500
1	2.750000
1	2.749500
1	2.700000
1	2.699500
1	2.750000
1	2.700500
1	2.750000
1	2.700000
1	2.750000
1	2.749500
1	2.749500
1	2.750500
1	2.799500
1	2.750000
1	2.700500
1	2.699500
1	2.750000
1	2.649500
1	2.750000
1	2.749500
1	2.649500
1	2.700500
1	2.649500
1	2.750000
1	2.700000
1	2.700000
1	2.700000
1	2.750000
1	2.650000
1	2.700000
1	2.700500
1	2.650000
1	2.750000
1	2.700000
1	2.700500
1	2.800000
1	2.750000
1	2.749500
1	2.700000
1	2.650000
1	2.750000
1	2.700000
1	2.650000
1	2.750000
1	2.750000
1	2.649500
1	2.700500
1	2.700000
1	2.649500
1	2.650000
1	2.699500
1	2.699500
1	2.700500
1	2.700500
1	2.699500
1	2.750000
1	2.700500
1	2.700000
1	2.700000
1	2.750500
1	2.700000
1	2.750000
1	2.750500
1	2.649500
1	2.700000
1	2.650000
1	2.700000
1	4.400000
1	2.700500
1	2.699500
1	2.749500
1	2.700000
1	2.699500
1	2.649500
1	2.750500
1	2.750000
1	2.700000
1	2.700500
1	1123.265500
1	2.800000
1	2.749500
1	2.700500
1	2.750000
1	2.649500
1	2.700500
1	2.700000
1	2.649500
1	2.650000
1	2.700000
1	2.700000
1	2.650000
1	2.749500
1	2.700000
1	2.700500
1	2.699500
1	2.700000
1	2.750000
1	2.650000
1	2.750000
1	2.700000
1	2.700500
1	2.749500
1	2.700000
1	2.750500
1	2.699500
1	2.750000
1	2.700500
1	2.750000
1	2.750000
1	2.650000
1	2.700500
1	2.649500
1	2.700500
1	2.700000
1	2.749500
1	2.700000
1	2.700000
1	2.700000
1	2.750000
1	2.700500
1	2.800000
1	2.700000
1	2.750500
1	2.849500
1	2.699500
1	2.700500
1	2.699500
1	2.700000
1	2.700500
1	2.749500
1	2.700000
1	2.700500
1	2.799500
1	2.699500
1	2.700500
1	2.700000
1	2.700000
1	2.699500
1	2.700500
1	2.700000
1	2.700000
1	2.749500
1	2.700000
1	2.700500
1	2.700000
1	2.750500
1	2.649500
1	2.700000
1	2.700000
1	2.700500
1	2.749500
1	2.750000
1	2.650000
1	2.799500
1	2.700500
1	2.799500
1	2.700000
1	2.650000
1	2.750000
1	2.700000
1	2.700500
1	2.749500
1	2.649500
1	2.750500
1	2.700500
1	2.750000
1	2.700000
1	2.700500
1	2.749500
1	811.897000
1	2.799500
1	2.750500
1	2.649500
1	2.700000
1	2.700500
1	2.700000
1	2.750000
1	2.700500
1	2.750000
1	2.700000
1	2.700500
1	2.649500
1	2.699500
1	2.700000
1	2.700500
1	2.700000
1	2.750000
1	2.700500
1	2.700000
1	6.150500
1	2.700000
1	2.649500
1	2.650000
1	2.700000
1	2.700000
1	2.750500
1	2.649500
1	2.750000
1	2.750000
1	2.649500
1	2.700000
1	2.700000
1	2.700000
1	2.750500
1	2.699500
1	2.749500
1	2.650000
1	2.700000
1	2.700000
1	2.700000
1	2.750500
1	2.650000
1	2.749500
1	2.750500
1	2.699500
1	2.750000
1	2.700500
1	2.749500
1	2.649500
1	2.700500
1	2.700000
1	2.749500
1	2.700500
1	2.649500
1	2.700000
1	2.700500
1	2.749500
1	2.699500
1	2.750500
1	2.699500
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.700500
1	2.750000
1	2.750000
1	2.700500
1	2.749500
1	2.849500
1	2.750000
1	2.700500
1	2.749500
1	2.699500
1	2.750000
1	2.749500
1	2.699500
1	2.700000
1	2.649500
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.700500
1	2.700000
1	2.750000
1	2.700000
1	5.350000
1	2.700000
1	2.700000
1	2.650000
1	2.750000
1	2.749500
1	2.699500
1	2.700500
1	2.700000
1	2.700000
1	2.800500
1	2.650000
1	2.649500
1	2.750000
1	2.700000
1	2.750500
1	2.699500
1	2.700000
1	2.700500
1	2.750000
1	2.649500
1	2.700500
1	2.750000
1	2.700000
1	2.750500
1	2.700000
1	2.750000
1	2.700500
1	2.799500
1	2.750000
1	2.700500
1	2.799500
1	2.700000
1	2.749500
1	2.700500
1	2.649500
1	2.699500
1	2.750500
1	2.700000
1	2.750000
1	2.700500
1	2.749500
1	2.749500
1	2.700500
1	2.649500
1	2.799500
1	2.700500
1	2.750000
1	2.700000
1	2.750500
1	2.700000
1	2.700000
1	2.750500
1	2.699500
1	2.699500
1	2.650000
1	2.699500
1	2.700000
1	2.700500
1	2.750000
1	2.700000
1	2.700500
1	2.649500
1	2.750000
1	2.700500
1	2.749500
1	2.700000
1	2.700500
1	2.749500
1	2.749500
1	2.700500
1	2.700000
1	2.700000
1	2.750500
1	2.750000
1	2.750000
1	2.700500
1	2.750000
1	2.699500
1	2.700500
1	2.649500
1	2.700000
1	2.650000
1	2.700000
1	2.750000
1	2.650000
1	2.750000
1	2.699500
1	2.650500
1	2.749500
1	2.700000
1	2.750500
1	2.700000
1	2.750000
1	2.650000
1	2.749500
1	2.700000
1	2.750000
1	2.700000
1	2.749500
1	2.700500
1	2.750000
1	2.700000
1	2.700500
1	2.699500
1	2.700000
1	2.750500
1	2.700500
1	2.699500
1	2.699500
1	2.700000
1	2.700000
1	2.750500
1	2.699500
1	2.750000
1	2.649500
1	2.750000
1	2.700500
1	2.649500
1	2.750500
1	2.649500
1	2.750000
1	2.700000
1	2.700500
1	2.750000
1	2.749500
1	2.750000
1	2.700500
1	2.749500
1	2.749500
1	2.750000
1	2.700500
1	2.700000
1	2.700000
1	2.650000
1	2.700000
1	2.649500
1	2.700000
1	2.750000
1	2.649500
1	2.649500
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.749500
1	2.750000
1	2.700000
1	2.649500
1	2.750000
1	2.800000
1	2.749500
1	2.749500
1	2.750500
1	2.700000
1	2.750000
1	2.700000
1	2.750500
1	2.849500
1	2.700000
1	2.749500
1	2.750000
1	2.700000
1	2.700000
1	2.649500
1	2.700500
1	2.699500
1	2.699500
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.700500
1	2.800000
1	2.700000
1	2.750500
1	2.750000
1	2.750000
1	2.700000
1	2.700500
1	2.700000
1	2.700000
1	2.700000
1	2.700500
1	2.749500
1	2.699500
1	2.750000
1	2.700000
1	2.700500
1	2.649500
1	2.700000
1	2.650000
1	2.700500
1	2.750000
1	2.700000
1	2.750500
1	2.700000
1	2.699500
1	2.700000
1	2.750500
1	2.699500
1	2.750000
1	2.750500
1	5.100000
1	2.699500
1	2.700000
1	2.700000
1	2.700000
1	2.750500
1	2.700500
1	2.700000
1	2.700000
1	2.700500
1	2.699500
1	2.649500
1	2.750000
1	2.700500
1	2.749500
1	2.749500
1	2.700000
1	2.650000
1	2.700000
1	2.749500
1	2.750500
1	2.750500
1	2.700000
1	2.749500
1	2.750500
1	2.749500
1	2.800500
1	2.750000
1	2.799500
1	2.700000
1	2.700500
1	2.699500
1	2.700500
1	2.649500
1	2.700000
1	2.650000
1	2.750000
1	2.700000
1	2.750000
1	2.750000
1	2.749500
1	2.750500
1	2.700000
1	2.750000
1	2.649500
1	2.700500
1	2.799500
1	2.700000
1	2.749500
1	2.700500
1	2.700000
1	2.750000
1	2.750500
1	2.699500
1	2.950000
1	2.700000
1	2.700000
1	2.649500
1	2.750000
1	2.650000
1	2.650000
1	2.700000
1	2.749500
1	2.700000
1	2.650000
1	2.700000
1	2.700000
1	2.700500
1	4.749500
1	2.750000
1	2.650000
1	2.700000
1	2.700000
1	2.700000
1	2.650000
1	2.750000
1	2.700000
1	2.750500
1	2.750000
1	2.950000
1	2.700000
1	2.649500
1	2.699500
1	2.700000
1	2.699500
1	2.749500
1	2.700000
1	2.750000
1	2.650000
1	2.700000
1	2.649500
1	2.750500
1	2.700000
1	2.850500
1	2.700500
1	4.150500
1	2.649500
1	2.750500
1	2.649500
1	2.750000
1	2.649500
1	2.750500
1	2.700000
1	2.700000
1	2.649500
1	2.700500
1	2.750000
1	2.700000
1	2.650000
1	2.700000
1	2.700000
1	2.700000
1	2.700500
1	2.699500
1	2.699500
1	2.749500
1	2.700500
1	2.649500
1	2.799500
1	2.700000
1	2.750000
1	2.749500
1	2.699500
1	2.700000
1	2.700500
1	2.700000
1	2.699500
1	2.700000
1	2.700500
1	2.649500
1	2.700000
1	2.750500
1	2.700500
1	2.750000
1	2.649500
1	2.750000
1	6.699500
1	2.700500
1	2.700000
1	2.750000
1	2.700000
1	2.750500
1	2.700000
1	2.750000
1	2.750000
1	2.700000
1	2.799500
1	1117.315500
1	2.849500
1	2.700000
1	2.900000
1	2.650000
1	2.699500
1	2.700000
1	2.700000
1	2.650000
1	2.750500
1	2.700000
1	2.749500
1	2.650000
1	2.750000
1	2.699500
1	2.800000
1	2.700000
1	2.750000
1	2.699500
1	2.700500
1	2.700500
1	2.900000
1	2.650000
1	2.750000
1	2.700500
1	2.749500
1	2.750000
1	2.750000
1	2.749500
1	2.749500
1	2.700000
1	2.700500
1	2.699500
1	2.749500
1	2.700000
1	2.650000
1	2.700000
1	2.649500
1	2.650000
1	2.800000
1	2.700000
1	2.699500
1	2.700000
1	2.700000
1	2.649500
1	2.700000
1	2.700000
1	2.849500
1	2.700000
1	2.699500
1	2.700000
1	2.749500
1	2.699500
1	2.700500
1	2.750000
1	2.749500
1	2.650000
1	2.700500
1	2.749500
1	2.749500
1	2.699500
1	2.700000
1	2.700000
1	2.649500
1	2.750000
1	2.750000
1	2.649500
1	2.700000
1	2.699500
1	2.700000
1	2.650000
1	2.649500
1	2.699500
1	2.700500
1	2.699500
1	2.700000
1	2.749500
1	2.700000
1	2.749500
1	2.799500
1	2.749500
2	2.700000
2	2.699500
2	2.699500
2	2.649500
2	2.700000
2	2.699500
2	2.700500
2	2.650000
2	2.700000
2	2.699500
2	2.750500
2	2.649500
2	2.750000
2	2.699500
2	2.750500
2	2.799500
2	2.699500
2	2.750000
2	2.700500
2	2.749500
2	2.650500
2	2.700000
2	2.700000
2	2.650000
2	2.700000
2	2.650000
2	2.699500
2	2.650000
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700500
2	2.749500
2	2.699500
2	2.700000
2	2.650500
2	2.650000
2	2.699500
2	2.700500
2	2.700000
2	2.750000
2	2.699500
2	2.650500
2	2.699500
2	2.700000
2	2.700000
2	2.699500
2	2.650000
2	2.649500
2	2.650500
2	2.700000
2	2.650000
2	2.649500
2	2.650500
2	2.650500
2	2.650000
2	2.700000
2	2.700000
2	2.700000
2	2.749500
2	2.700000
2	2.650000
2	2.699500
2	2.650000
2	2.700000
2	2.700000
2	2.649500
2	2.699500
2	2.650000
2	2.650000
2	2.699500
2	2.700500
2	2.950000
2	2.699500
2	2.650500
2	2.700000
2	2.700000
2	2.699500
2	2.650500
2	2.699500
2	2.700000
2	2.699500
2	2.700500
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.699500
2	2.699500
2	2.699500
2	2.650500
2	2.699500
2	2.650000
2	2.699500
2	2.700000
2	2.649500
2	2.700000
2	2.750000
2	2.700000
2	2.699500
2	2.700500
2	2.650500
2	2.699500
2	2.650000
2	2.950500
2	2.699500
2	2.699500
2	2.650000
2	2.700500
2	2.649500
2	2.950000
2	2.700000
2	2.699500
2	2.700000
2	2.649500
2	2.650500
2	2.699500
2	2.650000
2	2.699500
2	2.650500
2	2.649500
2	2.650000
2	2.650000
2	2.650000
2	2.700000
2	2.649500
2	2.700500
2	2.699500
2	2.700000
2	2.699500
2	2.700000
2	2.699500
2	2.699500
2	2.700000
2	2.650000
2	2.699500
2	2.650000
2	2.699500
2	2.700500
2	2.699500
2	2.700000
2	2.649500
2	2.650500
2	2.649500
2	2.700000
2	2.699500
2	2.700500
2	2.700000
2	2.749500
2	2.699500
2	2.650000
2	2.699500
2	2.700000
2	2.700000
2	2.649500
2	2.700000
2	2.700000
2	2.699500
2	2.699500
2	2.749500
2	2.700000
2	2.699500
2	2.749500
2	2.700000
2	2.650000
2	2.700000
2	2.699500
2	3.149500
2	2.650500
2	2.649500
2	2.700000
2	2.650000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700500
2	2.700000
2	2.649500
2	2.699500
2	2.650000
2	2.699500
2	2.650000
2	2.699500
2	2.700500
2	2.700000
2	1151.216500
2	2.750000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.650000
2	2.699500
2	2.700000
2	2.700000
2	2.750000
2	2.699500
2	2.700000
2	2.700000
2	2.650000
2	2.649500
2	2.700000
2	2.700000
2	2.700000
2	2.649500
2	2.699500
2	2.650000
2	2.699500
2	2.650000
2	2.650000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.649500
2	2.650500
2	2.750000
2	745.193500
2	2.749500
2	2.650500
2	2.699500
2	2.650000
2	2.699500
2	2.700000
2	794.146000
2	2.750500
2	2.650000
2	2.699500
2	2.700500
2	2.700000
2	2.749500
2	2.650000
2	2.650500
2	2.699500
2	2.650000
2	2.699500
2	2.650500
2	2.700000
2	2.649500
2	2.650000
2	2.700000
2	2.699500
2	2.699500
2	2.650000
2	2.700500
2	2.699500
2	2.699500
2	2.650000
2	2.700000
2	2.650000
2	2.649500
2	2.650500
2	2.699500
2	2.700000
2	2.699500
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.650000
2	2.700000
2	2.650000
2	2.699500
2	2.700500
2	2.649500
2	2.650000
2	2.649500
2	2.700000
2	2.700000
2	2.699500
2	2.650000
2	2.700000
2	2.699500
2	2.650000
2	2.700000
2	2.649500
2	2.700000
2	2.699500
2	2.700500
2	2.700000
2	2.699500
2	2.699500
2	2.700500
2	2.650000
2	2.699500
2	2.700000
2	2.650000
2	7.950000
2	2.650500
2	2.649500
2	2.700000
2	2.699500
2	2.700500
2	2.699500
2	2.700000
2	2.649500
2	2.700000
2	2.649500
2	2.649500
2	2.650000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.699500
2	2.700500
2	2.699500
2	2.650000
2	2.699500
2	2.700000
2	2.699500
2	2.700000
2	4.249500
2	2.650000
2	2.650000
2	2.700000
2	2.699500
2	2.650000
2	2.700500
2	2.699500
2	2.650000
2	2.699500
2	2.650500
2	2.699500
2	2.749500
2	2.700500
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700500
2	2.649500
2	2.700000
2	2.700000
2	2.700000
2	2.649500
2	2.699500
2	2.700000
2	2.650000
2	2.699500
2	2.700000
2	2.650000
2	2.650000
2	2.649500
2	2.650000
2	2.700500
2	2.700000
2	2.700000
2	2.699500
2	2.700500
2	2.749500
2	2.700000
2	2.699500
2	2.650000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.650000
2	2.699500
2	1088.864000
2	2.750500
2	2.649500
2	2.650000
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.650000
2	2.650000
2	2.699500
2	2.699500
2	2.749500
2	2.750500
2	2.699500
2	2.650000
2	2.649500
2	2.700000
2	2.700000
2	2.649500
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.699500
2	2.749500
2	2.700000
2	2.700500
2	2.699500
2	2.650000
2	2.650000
2	2.699500
2	2.650000
2	2.699500
2	2.700000
2	2.699500
2	2.699500
2	2.750000
2	2.750000
2	2.699500
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.650000
2	2.700000
2	2.650500
2	2.649500
2	2.699500
2	2.650500
2	2.649500
2	2.699500
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.750000
2	2.699500
2	2.700000
2	2.750000
2	2.650000
2	2.699500
2	2.700000
2	2.650500
2	2.650000
2	2.700000
2	2.650000
2	2.650500
2	2.649500
2	2.650000
2	2.700000
2	2.700000
2	2.649500
2	2.650000
2	2.650000
2	2.749500
2	2.699500
2	2.650000
2	2.700000
2	2.649500
2	2.650000
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700500
2	6.800500
2	2.650000
2	2.699500
2	2.699500
2	2.700500
2	2.700000
2	2.699500
2	2.650000
2	2.700000
2	2.699500
2	2.700000
2	2.699500
2	2.700500
2	2.700500
2	2.699500
2	2.700500
2	2.700000
2	2.650000
2	2.699500
2	2.700500
2	2.650000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.649500
2	2.700000
2	2.700000
2	2.650000
2	2.699500
2	2.749500
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.650000
2	2.700500
2	2.649500
2	2.649500
2	2.700000
2	2.650000
2	2.699500
2	2.700000
2	2.699500
2	2.750500
2	2.649500
2	2.700000
2	2.650000
2	2.700000
2	2.650000
2	2.699500
2	2.650500
2	2.700000
2	2.699500
2	2.650000
2	3.650000
2	2.650000
2	2.699500
2	2.700000
2	2.650500
2	2.650000
2	2.700000
2	2.700000
2	2.700500
2	2.699500
2	2.700000
2	2.700500
2	2.749500
2	2.700000
2	2.700000
2	2.700000
2	2.649500
2	2.700000
2	2.650000
2	2.650000
2	2.700000
2	2.699500
2	2.650000
2	2.700000
2	2.649500
2	2.700000
2	2.750000
2	2.649500
2	2.699500
2	2.699500
2	2.700000
2	2.650000
2	2.649500
2	2.700000
2	2.700000
2	2.700000
2	2.649500
2	2.700500
2	2.650500
2	2.649500
2	2.700000
2	2.700000
2	2.700000
2	2.699500
2	2.700000
2	2.700000
2	2.650000
2	2.699500
2	2.700000
2	2.650000
2	2.650000
2	2.650000
2	2.749500
2	2.700500
2	2.700000
2	2.649500
2	2.700500
2	2.700000
2	2.700000
2	2.649500
2	2.650500
2	2.699500
2	2.649500
2	2.700000
2	2.650000
2	2.699500
2	2.699500
