#size	rtt
1	102.156000
1	101.156000
1	97.555500
1	97.205000
1	94.705500
1	91.605000
1	90.704500
1	90.355000
1	90.855000
1	90.155000
1	90.705500
1	91.305000
1	90.454500
1	90.605500
1	91.305000
1	90.405000
1	90.255500
1	89.905000
1	86.604500
1	90.055000
1	92.855000
1	90.955000
1	95.405000
1	92.255000
1	90.504500
1	90.155500
1	91.555500
1	90.404500
1	90.055500
1	90.354500
1	90.805500
1	96.305000
1	95.905000
1	93.155000
1	95.855500
1	94.105000
1	92.705500
1	93.955500
1	93.205000
1	94.705500
1	93.405500
1	99.956000
1	91.855500
1	90.255000
1	91.005000
1	90.605000
1	90.655000
1	90.155000
1	91.105500
1	90.005000
1	89.504500
1	89.204500
1	90.904500
1	92.555500
1	101.056000
1	91.855000
1	91.955500
1	90.655500
1	92.105000
1	89.604500
1	90.855000
1	92.105000
1	91.455500
1	90.255500
1	90.604500
1	90.204500
1	91.205000
1	89.604500
1	91.555500
1	91.105500
1	90.155000
1	91.055000
1	90.604500
1	93.505000
1	89.455500
1	89.605000
1	90.655000
1	91.105000
1	90.105000
1	89.754500
1	90.605500
1	90.305500
1	98.555000
1	91.255000
1	91.055000
1	90.805500
1	90.454500
1	88.255000
1	90.154500
1	92.555000
1	91.355500
1	91.455500
1	91.554500
1	91.205000
1	95.305000
1	92.155500
1	91.555500
1	91.455500
1	92.005000
1	92.505500
1	91.205000
1	91.955500
1	88.554500
1	90.905500
1	91.455000
1	91.155000
1	91.005500
1	91.604500
1	91.055500
1	92.705000
1	91.105000
1	90.455000
1	90.905500
1	90.955000
1	90.405000
1	90.255500
1	90.154500
1	91.055000
1	90.805000
1	90.755000
1	90.805500
1	90.605000
1	130.607500
1	93.855000
1	91.055000
1	90.805500
1	91.755000
1	94.305500
1	104.056000
1	90.255000
1	98.855000
1	93.255500
1	90.305000
1	93.605500
1	90.754500
1	92.655000
1	91.205500
1	91.404500
1	90.555500
1	91.855500
1	91.554500
1	91.155000
1	91.705000
1	91.354500
1	90.905500
1	90.605500
1	90.554500
1	91.905000
1	91.754500
1	93.105500
1	93.605000
1	94.705000
