#size	rtt
1	112.856000
1	94.405500
1	94.755000
1	89.904500
1	91.855000
1	92.304500
1	87.205000
1	85.154500
1	85.055000
1	86.455000
1	90.755500
1	91.505000
1	85.954500
1	92.255500
1	88.954500
1	82.355000
1	88.355000
1	130.357000
1	109.256500
1	94.405500
1	98.205500
1	87.555000
1	90.355500
1	89.055000
1	89.805000
1	88.155000
1	87.705000
1	87.054500
1	92.005000
1	85.405000
1	94.255000
1	89.604500
1	89.954500
1	88.504500
1	88.005000
1	89.905000
1	87.605000
1	87.305000
1	91.505500
1	89.355500
1	90.355000
1	88.804500
1	94.505500
1	97.855000
1	92.405500
1	94.455000
1	90.955000
1	88.154500
1	92.205000
1	87.104500
1	85.554500
1	87.455000
1	91.655500
1	89.505000
1	88.705000
1	93.305000
1	91.604500
1	84.505000
1	91.555500
1	89.504500
1	86.204500
1	88.405000
1	89.055000
1	89.455500
1	85.104000
1	91.105000
1	89.205000
1	88.905000
1	84.755000
1	86.705000
1	87.954500
1	87.755000
1	87.455000
1	85.955000
1	116.156500
1	88.305500
1	94.305000
1	90.304500
1	88.255000
1	86.355000
1	90.355000
1	97.055500
1	90.505000
1	90.405500
1	84.855000
1	91.505500
1	87.355000
1	87.255000
1	91.355000
1	88.455500
1	91.105000
1	86.704500
1	91.304500
1	89.855000
1	89.454500
1	88.105500
1	88.305000
1	87.705000
1	212.962500
1	102.456000
1	104.056000
1	95.305500
1	97.505500
1	90.555000
1	88.254500
1	88.254500
1	92.855000
1	92.305500
1	106.155500
1	91.005000
1	99.455500
1	90.454500
1	92.605000
1	93.205500
1	99.306000
1	94.205000
1	100.356000
1	99.655500
1	95.005500
1	92.555000
1	94.505000
1	91.105000
1	99.355500
1	93.405000
1	96.305500
1	92.055500
1	90.855000
1	91.255500
1	90.904500
1	95.855000
1	90.454500
1	100.755500
1	96.855000
1	94.756000
1	100.905000
1	97.006000
1	95.605500
1	85.955000
1	90.805500
1	91.304500
1	94.355500
1	88.555500
1	86.955000
1	87.554500
1	106.405500
1	91.855500
1	88.605000
1	86.454500
1	91.455000
1	91.255500
1	89.455000
1	91.455500
1	97.606000
1	99.855500
1	91.754500
1	90.205000
1	98.005500
1	89.155500
1	97.205000
1	97.555500
1	94.005000
1	88.255500
1	86.804500
1	88.204500
1	91.955500
1	88.404500
1	87.204500
1	91.355000
1	94.555000
1	95.955000
1	89.805500
1	88.805000
1	87.355000
1	87.705500
1	88.104500
1	111.506500
1	102.256000
1	92.355000
