# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: ip-0A020006
# Release : 3.10.0-1127.19.1.el7.x86_64
# Version : #1 SMP Tue Aug 25 17:23:54 UTC 2020
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 98.992110 
# Number of iterations (recorded+unrecorded): 1099459655 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	15700.75
999879.31	13399.93
1999957.60	17100.64
2999737.92	6400.49
3715521.87	1601.87
3999617.23	6500.48
4999796.52	5300.58
5999474.84	5301.58
6999555.14	5199.59
7999334.45	12401.01
8999413.75	19800.42
9999292.06	11801.06
10999172.37	10699.15
11999151.67	9400.25
12999130.97	9100.27
13351722.87	1300.90
13999010.28	9200.27
14998888.59	7101.43
15998767.90	7401.41
16998947.18	10001.20
17998626.51	5201.59
18998605.81	5401.57
19998485.12	20300.38
20998264.44	8501.32
21998243.74	5200.59
22987522.89	1400.89
22998123.05	5200.59
23998302.34	5300.58
24997981.66	5700.55
25997959.96	5301.58
26997840.27	6500.48
27997719.58	5200.59
28997698.88	5300.58
29997578.19	5300.58
30997556.49	6501.48
31997435.80	7300.42
32623422.91	1199.90
32997415.11	9401.25
33997293.42	5302.58
34997073.73	6701.47
35997153.03	6400.49
36997132.33	5200.59
37996911.65	5299.58
38996990.94	9901.21
39996870.25	5200.59
40996849.55	5200.59
41996727.86	8401.33
42259322.93	1200.90
42996407.19	5401.57
43996486.48	5301.58
44996366.79	6500.48
45996346.09	6500.48
46996225.40	5300.58
47996104.71	5299.58
48996083.01	9300.26
49995962.32	6500.48
50996041.62	5201.59
51333633.71	1401.89
51995820.93	8501.32
52995900.23	10401.17
53995679.54	6600.47
54995657.85	5401.57
55995538.16	5300.58
56054937.42	2700.78
56995517.46	5600.55
57995396.77	5400.57
58995276.08	6500.48
59995255.38	5200.59
60407946.49	1300.90
60995134.69	5300.58
61995113.99	5300.58
62994893.31	6500.48
63994872.61	5700.55
64994851.91	5200.59
