# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: queue1-dy-c5nmetal-1
# Release : 4.14.262-200.489.amzn2.x86_64
# Version : #1 SMP Fri Feb 4 20:34:30 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 71.994938 
# Number of iterations (recorded+unrecorded): 5114260034 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	12240.14
830625.59	11810.17
2773487.98	7723.46
6773189.74	1876.87
10772893.49	1799.87
14772616.25	2023.86
18772328.00	1648.88
22772044.76	1574.89
26707623.03	15894.88
26771757.52	1833.87
28406728.55	12129.15
30771495.27	1694.88
34771193.03	1555.89
38770894.79	4838.66
42770624.54	1627.89
42791049.10	15951.88
43938360.43	12217.14
46770340.30	1790.87
48449654.21	16054.87
50609417.35	12150.15
50770084.05	1676.88
54769788.81	1567.89
58769514.56	1552.89
62769212.32	1565.89
63646689.62	15955.88
65786742.14	12118.15
66768964.07	1800.87
70768664.83	1705.88
74768399.59	1540.89
74825946.54	15807.89
76966781.00	11942.16
78768101.34	1682.88
82767834.10	1574.89
82789524.57	16026.87
83894542.87	12134.15
86767524.85	1658.88
90767279.61	1573.89
94766993.36	3037.79
98766666.12	1555.89
102766409.88	1551.89
106766120.63	1557.89
110765852.39	1551.89
114765562.14	1553.89
118765303.90	1541.89
122765002.66	1537.89
126764728.41	1555.89
130764428.17	1547.89
134764164.92	1577.89
138763886.68	1537.89
142763612.43	1553.89
146763309.19	1602.89
150763057.94	2752.81
154762767.70	1545.89
158762499.46	1543.89
162762201.21	1540.89
164040836.30	15962.88
166192231.03	12137.15
166761907.97	2874.80
170761650.72	1571.89
174233123.62	15930.88
174761339.48	1779.87
176372601.18	12146.15
178761068.24	1962.86
178780230.89	16068.87
179853944.39	12179.14
182760790.99	1766.88
186760519.75	1536.89
190760232.50	1539.89
194759943.26	1547.89
198759650.02	1547.89
202759402.77	1745.88
206759109.53	2889.80
210758849.28	1545.89
214758540.04	1535.89
218758279.79	1539.89
222757977.55	1531.89
226757715.30	1554.89
230757409.06	1552.89
234757105.82	1546.89
238756856.57	1531.89
242756547.33	1552.89
246756287.08	1538.89
250755983.84	1540.89
254755751.59	1540.89
258755432.35	1544.89
262755167.11	2766.81
263445415.57	16062.87
265652897.35	12118.15
266754870.86	1717.88
270754613.62	1545.89
274691650.78	15945.88
274754316.38	1685.88
277936890.59	12118.15
278754064.13	1747.88
282753758.89	1549.89
286753494.64	1548.89
290753203.40	1525.89
294752939.15	2699.81
298752625.91	1588.89
299535891.83	15964.88
300747815.62	12051.15
302752325.67	1648.88
306752072.42	1550.89
310418892.59	15787.89
310751772.18	1745.88
312279332.77	11925.16
314751502.93	1702.88
318751212.69	2759.81
322750960.44	1582.89
326750670.20	1544.89
330750386.96	1544.89
334318658.05	16046.87
334750096.71	1800.87
336459502.51	11952.16
338749830.47	1784.87
342749535.22	1539.89
346749262.98	1553.89
350748973.74	1546.89
354748709.49	1544.89
358748412.25	1548.89
362748149.00	1547.89
363498406.25	16097.87
365639621.68	12156.15
366747842.76	1662.88
370747545.52	1553.89
374679547.03	16079.87
374747284.27	2344.84
378746982.03	1675.88
382746737.78	1579.89
386746441.54	1585.89
390746167.29	1592.89
394745886.05	1592.89
398745603.80	1594.89
402745309.56	1619.89
406745055.31	1579.89
410744760.07	1583.89
414744498.83	1585.89
418744209.58	1581.89
422743943.34	2445.83
426743631.09	1612.89
430743339.85	2787.80
434743089.60	397403.06
438742764.36	4131.71
442742519.12	1663.88
446742211.87	1619.89
450741955.63	1611.89
454741658.39	1600.89
458741383.14	1616.89
462741092.90	1604.89
466031007.56	12185.14
466740823.65	1823.87
470740549.41	2906.80
474072833.09	16086.87
474740272.16	1873.87
476212437.65	12145.15
478739974.92	1641.88
482739701.68	1592.89
486739423.43	2753.81
490739113.19	1760.88
494738852.94	1566.89
498738552.70	1561.89
502738309.45	3247.77
506737994.21	1555.89
510737724.97	1646.88
514737443.72	1548.89
518737181.48	1567.89
522736889.23	1552.89
526251737.08	16069.87
526736623.99	1823.87
528392027.59	12137.15
530736328.74	1779.87
534736043.50	1558.89
538735761.26	1545.89
542735481.01	2772.81
546735209.77	1545.89
549430547.24	16034.87
550734925.52	4138.71
551570548.77	12118.15
554734648.28	1620.89
558734364.03	1560.89
562734073.79	1563.89
563611230.11	15944.88
565751737.60	12175.14
566733774.55	1771.88
570733523.30	1548.89
574733223.06	1547.89
574793257.84	16058.87
576936735.12	11970.16
578732949.81	1769.88
582732652.57	1548.89
586732388.33	1560.89
590732106.08	1544.89
594731838.84	1557.89
594750968.49	16096.87
595860222.49	12035.15
598731547.59	1951.86
602731268.35	1561.89
606730988.10	1536.89
610730712.86	1567.89
614730406.62	2961.79
618730106.37	1579.89
622729847.13	1546.89
626729557.88	3203.77
630729296.64	3482.76
634728999.40	3149.78
638728745.15	3107.78
642728432.91	2861.80
646728163.66	1575.89
650727882.42	1543.89
654727615.17	2982.79
658727326.93	1552.89
662727066.68	1536.89
664005877.76	16052.87
665185107.84	11936.16
666726749.44	1782.87
670726495.20	1535.89
674173773.80	15891.88
674726182.95	1809.87
676313313.35	11976.16
678725946.71	2699.81
682725634.46	1567.89
686725389.22	1548.89
690725061.98	1573.89
694724762.73	1548.89
698724529.49	1533.89
702724219.24	1530.89
706723955.00	1544.89
710723656.76	2757.81
714723402.51	1548.89
718723109.27	1555.89
722722849.02	1553.89
726722538.78	1553.89
730722267.53	1548.89
734721973.29	1535.89
738721727.04	1540.89
742721423.80	1543.89
746721156.56	1531.89
750483264.02	16080.87
750720843.31	1775.88
751537442.89	11983.16
754720605.07	1589.89
758720291.82	1743.88
762719982.58	1553.89
763387198.67	16030.87
765527977.13	11990.16
766719736.34	2229.84
770719433.09	1547.89
774568158.47	16094.87
774719163.85	1803.87
778718875.60	1855.87
778831081.71	12159.15
782718624.36	1594.89
786718321.11	1561.89
790718068.87	1560.89
794717753.63	1540.89
794719366.51	2714.81
798717490.38	1601.89
798870839.60	16081.87
801011762.06	11992.16
802717200.14	1783.87
806716946.89	2423.83
810716643.65	1567.89
814716360.40	1558.89
818716068.16	1558.89
822715815.91	2830.80
826715513.67	1543.89
830715215.43	1557.89
834714960.18	1551.89
838714661.94	1543.89
842714392.69	1542.89
846714095.45	1547.89
850713831.21	1559.89
854713548.96	1542.89
858713276.72	1553.89
862712987.47	1555.89
863059894.08	15902.88
865199923.60	11960.16
866712713.23	1692.88
870712412.99	1543.89
874239793.95	15918.88
874712149.74	1768.88
876381536.36	12152.15
878711843.50	1882.87
882711599.25	1578.89
886711305.01	1545.89
890711007.76	1561.89
894710739.52	1542.89
898710428.28	1559.89
902710175.03	1560.89
906709863.79	1561.89
910709613.54	1542.89
914709315.30	1585.89
918709042.05	1566.89
922708766.81	1544.89
926708495.57	1547.89
930708199.32	1551.89
934707928.08	3602.75
938707624.83	1575.89
942707359.59	1558.89
946707076.35	1550.89
950706785.10	1541.89
954706501.86	1559.89
958706219.61	1546.89
962705955.37	1555.89
963452817.85	15986.88
965594298.27	12016.16
966705667.12	1811.87
970705407.88	1541.89
974634244.62	16047.87
974705098.64	1763.88
976775008.09	12178.14
978704837.39	1688.88
982704534.15	1552.89
986704286.90	1554.89
990703966.66	2819.80
994703714.41	1537.89
998703409.17	1555.89
1002703151.93	1557.89
1006702838.68	1557.89
1010702555.44	1545.89
1014702297.19	1548.89
1018701991.95	1548.89
1022701727.71	1547.89
1026701433.46	1541.89
1026814603.50	16063.87
1028954735.02	12012.16
1030701172.22	1790.87
1034700866.97	1564.89
1038700606.73	1543.89
1042700325.48	1556.89
1046700052.24	3016.79
1048993236.99	16049.87
1050699763.00	1815.87
1051133804.48	11980.16
1054699498.75	1574.89
1058699190.51	1562.89
1062698943.26	2426.83
1063172417.97	15969.88
1065312268.50	12204.14
1066698619.02	1723.88
1070698380.77	1543.89
1074351503.90	15992.88
1074698085.53	1782.87
1076492517.35	12038.15
1078697797.29	1639.88
1082697504.04	1554.89
