#size	rtt
1	1.701500
1	1.661000
1	40.999000
1	2.908000
1	1.793500
1	1.468000
1	1.526500
1	1.475500
1	1.460500
1	2.971500
1	2.608000
1	2.573500
1	2.603500
1	2.501500
1	2.500000
1	2.575500
1	2.585500
1	2.592500
1	2.495500
1	2.443500
1	2.603500
1	2.490000
1	2.455500
1	2.781000
1	2.528000
1	2.536000
1	2.479500
1	2.445000
1	2.594000
1	2.547500
1	2.504000
1	5.538500
1	2.666000
1	2.581500
1	2.537000
1	2.513000
1	2.456000
1	2.944500
1	2.561500
1	2.547500
1	2.483500
1	2.575500
1	2.488000
1	2.580000
1	2.455500
1	2.614000
1	2.478000
1	2.534000
1	2.507000
1	2.551500
1	1.475000
1	1.609000
1	1.434500
1	2.537500
1	2.544000
1	2.592000
1	2.475000
1	2.556500
1	2.568000
1	2.565500
1	2.469500
1	2.521000
1	2.572000
1	2.583500
1	2.524000
1	3.153500
1	2.537500
1	2.623500
1	2.523000
1	2.511500
1	2.493500
1	2.519000
1	2.521000
1	2.514000
1	2.458000
1	2.555500
1	2.479000
1	2.556000
1	1.463500
1	1.566000
1	1.484500
1	2.498000
1	2.524500
1	2.501500
1	2.556500
1	2.515500
1	2.500500
1	2.514500
1	2.473500
1	2.485500
1	2.439500
1	1.468000
1	1.469000
1	1.448000
1	1.488500
1	1.466500
1	1.438500
1	2.461500
1	2.563500
1	2.461500
1	2.552000
1	2.471500
1	2.552500
1	2.452000
1	2.551500
1	1.468000
1	1.447000
1	1.427000
1	1.614500
1	1.443000
1	1.457500
1	1.516500
1	2.541500
1	2.496500
1	2.496500
1	2.475500
1	3.957000
1	2.456000
1	2.500000
1	2.455000
1	2.505500
1	2.453000
1	12.645500
1	2.494000
1	2.489500
1	2.455500
1	2.547500
1	2.534000
1	2.539500
1	2.544000
1	2.538500
1	2.518000
1	2.511500
1	1.469500
1	1.479500
1	1.440000
1	3.345000
1	2.557500
1	2.479500
1	2.646000
1	2.504000
1	4.492000
1	2.519500
1	2.574500
1	2.495500
1	2.567000
1	2.455500
1	2.582500
1	2.498000
1	2.516000
1	2.895000
1	2.586500
1	2.526500
1	2.572000
1	2.479000
1	2.541000
1	2.515500
1	2.498000
1	2.441500
1	2.539500
1	4.617000
1	2.530500
1	2.516000
