#size	rtt
8	3.498000
8	10.252000
8	8.218000
8	134.922500
8	5.797500
8	18.172000
8	7.962500
8	3.925500
8	4.437000
8	9.002500
8	3.724000
8	4.314000
8	19.877000
8	3.893500
8	4.721500
8	6.996000
8	3.871000
8	4.386500
8	4.394500
8	3.955000
8	4.209000
8	3.881000
8	3.911500
8	4.579000
8	4.189000
8	3.998000
8	4.209500
8	3.903500
8	2.354500
8	2.536500
8	2.198500
8	3.647500
8	4.130000
8	3.892000
8	3.925500
8	4.037000
8	3.845000
8	4.274500
8	3.974000
8	4.151500
8	3.997500
8	3.837500
8	4.567000
8	4.158000
8	3.791500
8	4.189500
8	4.296500
8	3.891000
8	3.807000
8	3.757000
8	4.168500
8	3.813000
8	4.383000
8	3.813000
8	4.432500
8	3.867500
8	3.924000
8	4.058000
8	3.884000
8	3.940500
8	4.223000
8	3.841000
8	4.418000
8	4.023500
8	3.749500
8	4.491500
8	4.476500
8	4.141500
8	3.877000
8	3.612500
8	4.228500
8	4.226000
8	3.813500
8	4.373000
8	3.872000
8	4.237000
8	4.101000
8	3.876500
8	4.331500
8	4.156000
8	3.723500
8	21.329500
8	5.049000
8	3.959000
8	4.146500
8	4.204000
8	3.533000
8	4.060000
8	4.260500
8	3.955000
8	4.221500
8	4.135500
8	3.896000
8	3.435000
8	4.708000
8	4.308000
8	3.898000
8	4.008000
8	4.482000
8	4.137500
8	4.640500
8	4.546000
8	3.941500
8	3.859500
8	4.701500
8	4.136000
8	4.190000
8	3.959500
8	3.981000
8	3.925000
8	3.970500
8	3.837000
8	3.950500
8	4.366500
8	3.996500
8	3.879500
8	3.867500
8	4.432000
8	3.638500
8	4.288500
8	4.224500
8	3.576500
8	4.244000
8	3.760500
8	3.948000
8	4.029500
8	5.214000
8	3.769500
8	3.986000
8	4.184500
8	16.164500
8	3.280500
8	4.426000
8	3.699000
8	4.058000
8	3.837000
8	4.022500
8	4.238000
8	3.843500
8	4.238000
8	4.274000
8	3.797500
8	5.706000
8	20.665000
8	4.369000
8	3.811000
8	3.542500
8	3.572500
8	4.149000
8	3.914000
8	3.990500
8	3.841500
8	3.706500
8	4.312000
8	3.376000
8	4.125500
8	4.445000
8	3.988000
8	4.106000
8	4.334000
8	4.284000
8	3.990000
8	4.128500
8	4.079000
8	4.343500
8	3.799000
8	3.681500
8	4.045500
8	3.819500
8	3.851000
8	4.139500
8	3.988000
8	3.811500
8	4.116500
8	3.699000
8	3.865000
8	4.119000
8	4.236500
8	3.794500
8	3.865500
8	2.385000
8	2.068000
8	2.271000
8	3.938500
8	4.081500
8	3.914000
8	3.993000
8	3.923000
8	3.893500
8	4.112500
8	4.418500
8	3.863500
8	3.813500
8	3.513000
8	4.039000
8	3.837500
8	4.095000
8	4.039500
8	3.894500
8	4.174500
8	3.999500
8	4.013000
8	3.544500
8	3.930500
8	3.838500
8	3.894500
8	3.368500
8	4.665000
8	3.847500
8	4.379000
8	3.917000
8	3.803000
8	3.985000
8	4.053500
8	3.597000
8	4.526000
8	3.938000
8	4.041500
8	3.512500
8	4.287500
8	3.677000
8	3.617500
8	4.351500
8	4.056000
8	4.001000
8	4.262500
8	4.131500
8	4.316000
8	3.744500
8	4.288500
8	4.235500
8	1.967000
8	2.252500
8	2.200000
8	4.196500
8	4.368000
8	3.835000
8	3.954000
8	4.161500
8	4.274000
8	4.011500
8	4.050000
8	3.793000
8	4.130000
8	3.770000
8	4.412000
8	4.133500
8	4.051500
8	3.841000
8	3.977500
8	3.850500
8	4.243000
8	4.072000
8	4.019500
8	4.450500
8	3.976000
8	4.015500
8	6.147000
8	4.002000
8	3.908000
8	3.925500
8	3.876500
8	4.366500
8	4.441000
8	4.867000
