#size	rtt
1	3.117500
1	1.496000
1	1.324000
1	1.894500
1	1.727500
1	1.885000
1	1.803500
1	1.787500
1	1.675000
1	1.710000
1	1.965000
1	1.797500
1	1.643000
1	2.536500
1	121.862000
1	1.611500
1	1.685500
1	1.307500
1	1.286000
1	1.206000
1	1.415500
1	1.241000
1	1.694000
1	1.672500
1	1.625000
1	1.673500
1	1.229000
1	1.204500
1	1.239000
1	1.868500
1	1.681500
1	1.784000
1	1.696000
1	1.673500
1	1.646000
1	1.860500
1	1.634000
1	1.694000
1	1.682000
1	1.634000
1	1.700500
1	1.643500
1	1.641500
1	1.850000
1	1.618000
1	1.655500
1	1.628000
1	1.635000
1	1.722000
1	1.918000
1	1.662000
1	1.661000
1	1.656000
1	1.640000
1	1.222500
1	1.179000
1	1.193000
1	1.857500
1	1.266000
1	1.212000
1	1.202000
1	1.209500
1	1.206000
1	1.275000
1	1.377000
1	1.692500
1	1.647500
1	1.606000
1	1.624000
1	1.200000
1	1.202500
1	1.186500
1	4.476500
1	1.780000
1	1.611500
1	1.596000
1	1.634000
1	1.625000
1	1.592500
1	2.000500
1	1.605000
1	1.665000
1	1.616000
1	1.637500
1	1.692000
1	1.599500
1	1.609000
1	1.798500
1	1.631500
1	1.619000
1	1.656000
1	1.612000
1	1.593500
1	2.252500
1	1.625000
1	1.647500
1	1.615000
1	1.631000
1	1.621500
1	1.621500
1	4.877500
1	1.818000
1	1.654000
1	1.579000
1	1.614000
1	1.603500
1	1.623500
1	1.834500
1	1.632500
1	1.623000
1	1.618500
1	1.695500
1	1.616000
1	1.625000
1	1.621500
1	1.783500
1	1.671500
1	1.637500
1	1.591000
1	1.588000
1	1.609500
1	1.856500
1	1.608000
1	1.609000
1	1.615000
1	1.614000
1	1.589500
1	1.668000
1	1.637500
1	1.784000
1	1.635000
1	1.654000
1	1.683500
1	1.215000
1	1.201500
1	1.184000
1	1.273500
1	1.177000
1	1.206500
1	1.197000
1	1.186000
1	1.230500
1	1.187000
1	1.193500
1	1.400500
1	1.262000
1	1.204500
1	1.606000
1	1.620000
1	1.689500
1	1.902000
1	1.596500
1	1.579500
