# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: dp-esb74
# Release : 4.18.0-348.23.1.el8_5.x86_64
# Version : #1 SMP Wed Apr 27 15:32:52 UTC 2022
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 82.995429 
# Number of iterations (recorded+unrecorded): 1464490803 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	13176.27
37134.95	7733.57
1036986.89	6161.66
2036957.82	5746.68
3036891.75	5346.71
4036863.68	5387.70
5036801.61	6291.65
6036743.54	5822.68
7036650.48	5283.71
8036617.41	5907.67
9036577.34	6370.65
10036524.27	5585.69
11036480.20	5057.72
12036389.13	5217.71
13036317.06	6317.65
14036270.99	5644.69
15036230.92	5236.71
16036185.86	5386.70
17036148.79	5570.69
18036037.72	5847.68
19035993.65	4780.74
20035962.58	5400.70
21035904.51	6056.67
22035863.44	8349.54
23035806.37	15410.15
24035762.30	5775.68
25035673.24	5770.68
26035607.17	6126.66
27035590.10	4933.73
28035537.03	5328.71
29035463.96	6265.65
30035386.89	5575.69
31035336.82	4717.74
32035278.75	5084.72
33035246.68	5717.69
34035199.61	5514.70
35035146.54	4831.73
36035042.48	5583.69
37034992.41	6167.66
38034962.34	5609.69
39034899.27	4655.74
40034849.20	5386.70
41034827.13	5545.69
42034724.06	5495.70
43034678.99	4822.73
44034629.92	5319.71
45034572.86	6226.66
46034531.79	5333.71
47034490.72	5068.72
48034386.65	5377.70
49034357.58	5502.70
50034285.51	5702.69
51034257.44	4738.74
52034213.37	5675.69
53034137.30	5428.70
54034065.24	5660.69
55034003.17	4592.75
56033983.10	5469.70
57033925.03	5635.69
58033872.96	5553.69
59033805.89	6391.65
60033776.82	5557.69
61033669.75	6053.67
62033637.68	5499.70
63033589.61	4853.73
64033541.54	5388.70
65033490.48	5716.69
66033414.41	5640.69
67033340.34	4879.73
68033304.27	5470.70
69033253.20	6102.66
70033195.13	5481.70
71033148.06	4875.73
72033121.99	5444.70
73033038.92	5611.69
74032984.86	5471.70
75032930.79	4679.74
76032883.72	5834.68
77032834.65	6485.64
78032796.58	5846.68
79032702.51	4823.73
80032627.44	5664.69
81032597.37	5665.69
82032545.30	5527.70
83032513.23	4648.74
84032421.17	5806.68
85032352.10	6374.65
86032297.03	5483.70
87032258.96	4856.73
88032227.89	5279.71
89032157.82	5738.68
90032119.75	5070.72
91032013.68	4883.73
92031979.61	5166.72
93031934.55	6101.66
94031900.48	5409.70
95031852.41	4737.74
96031801.34	5235.71
97031711.27	5518.70
98031640.20	5398.70
99031590.13	5079.72
100031557.06	5648.69
101031498.99	6336.65
102031463.92	5584.69
103031373.86	4805.74
104031313.79	5109.72
105031282.72	5684.69
106031209.65	5300.71
107031164.58	4916.73
108031125.51	5663.69
109031026.44	6525.64
110030984.37	6003.67
111030941.30	5122.72
112030890.23	5356.70
113030849.17	5997.67
114030798.10	5491.70
115030723.03	4859.73
116030653.96	5358.70
117030617.89	6125.66
118030573.82	5519.70
119030518.75	4698.74
120030475.68	5347.71
121030373.62	5571.69
122030311.55	6366.65
123030279.48	5053.72
124030228.41	5328.71
125030197.34	6069.67
126030141.27	5232.71
127030030.20	4769.74
128030002.13	5299.71
129029941.06	5498.70
130029890.99	5261.71
131029866.92	4824.73
132029789.86	5333.71
133029744.79	6227.66
134029654.72	5709.69
135029601.65	4782.74
136029574.58	5446.70
137029507.51	5605.69
138029455.44	5376.70
139029423.37	4920.73
140029338.30	5264.71
141029273.24	5921.67
142029222.17	5534.70
143029180.10	4859.73
144029150.03	5265.71
145029063.96	5630.69
146029005.89	5487.70
147028967.82	4697.74
148028918.75	5272.71
149028874.68	6087.66
150028803.61	8004.56
151028724.55	5093.72
152028674.48	5499.70
153028611.41	5758.68
154028561.34	5436.70
155028527.27	4614.75
156028486.20	5368.70
157028434.13	6138.66
158028334.06	5804.68
159028284.99	4759.74
160028247.92	5151.72
161028201.85	5630.69
162028139.79	5396.70
163028098.72	4620.75
164028013.65	5624.69
165027950.58	6177.66
166027925.51	5600.69
167027867.44	4783.74
168027824.37	5477.70
169027774.30	5671.69
170027671.24	5365.70
171027641.17	4814.73
172027578.10	5444.70
173027533.03	6194.66
174027496.96	5575.69
175027440.89	4800.74
176027342.82	5492.70
177027311.75	5550.69
178027263.68	5653.69
179027193.61	4834.73
180027157.54	5334.71
181027102.48	6051.67
182027015.41	5819.68
183026972.34	4971.73
184026932.27	5401.70
185026885.20	6459.64
186026839.13	5350.71
187026790.06	4964.73
188026703.99	5658.69
189026651.92	5618.69
190026583.86	6410.65
191026552.79	4791.74
192026502.72	5181.71
193026447.65	5558.69
194026351.58	5376.70
195026321.51	4870.73
196026272.44	5776.68
197026211.37	5559.69
198026162.30	5435.70
199026112.23	4530.75
200026017.17	5331.71
201025965.10	5624.69
202025936.03	5425.70
203025871.96	4856.73
204025830.89	5563.69
205025794.82	5645.69
206025705.75	5428.70
207025656.68	4731.74
208025604.61	5364.70
209025565.54	5513.70
210025486.48	5456.70
211025450.41	4868.73
212025351.34	5797.68
213025331.27	5427.70
214025280.20	5266.71
214246199.03	2950.84
215025214.13	4925.73
216025179.06	5316.71
