#size	rtt
8	2.801000
8	2.550500
8	2.608500
8	2.638500
8	2.733000
8	2.453500
8	2.629000
8	2.433500
8	2.550000
8	2.549000
8	2.515000
8	2.562000
8	2.582000
8	2.587500
8	2.653500
8	2.585500
8	2.586000
8	2.585500
8	2.473000
8	2.445000
8	2.455500
8	2.538000
8	2.456500
8	2.498000
8	2.585500
8	2.423000
8	2.557500
8	2.559000
8	2.552000
8	2.654500
8	2.422500
8	2.585500
8	2.539500
8	2.635000
8	2.466500
8	2.598000
8	2.371000
8	2.536500
8	2.622000
8	2.518000
8	2.599500
8	2.506000
8	2.424000
8	2.548000
8	2.593500
8	2.450000
8	2.585500
8	2.579000
8	2.393000
8	2.597500
8	4.818000
8	2.567500
8	2.518000
8	2.593000
8	2.615000
8	2.622000
8	2.766000
8	2.528000
8	2.596500
8	2.547500
8	2.615500
8	2.458500
8	2.442500
8	2.475500
8	2.549000
8	2.472500
8	2.554000
8	2.604500
8	2.602000
8	2.535000
8	2.561500
8	2.567500
8	2.731500
8	2.557500
8	2.536500
8	2.553000
8	2.575000
8	2.457500
8	2.587500
8	2.564500
8	2.663500
8	2.610000
8	2.444000
8	2.454000
8	2.601000
8	2.555500
8	2.418500
8	2.409500
8	2.545500
8	2.426000
8	2.457000
8	2.720500
8	2.562000
8	2.602000
8	2.503500
8	2.555500
8	2.471000
8	2.615500
8	2.572000
8	2.490000
8	2.462000
8	2.641000
8	2.608500
8	2.557500
8	2.501500
8	2.389000
8	2.470000
8	2.458500
8	2.543000
8	2.451000
8	2.666500
8	2.625500
8	2.518500
8	2.477000
8	2.541500
8	2.661000
8	2.625000
8	2.585000
8	2.575000
8	2.602500
8	2.487000
8	2.578000
8	2.498500
8	2.527000
8	2.595500
8	2.722000
8	2.482500
8	2.563500
8	2.590000
8	2.577500
8	2.466500
8	2.579500
8	2.582000
8	2.487500
8	2.594500
8	2.532000
8	2.605000
8	2.482000
8	2.477000
8	2.412500
8	2.458000
8	2.469000
8	2.450500
8	2.460500
8	2.419500
8	2.553000
8	2.515500
8	2.582000
8	2.613500
8	2.496000
8	2.486000
8	2.555000
8	2.499500
8	2.614000
8	2.527000
8	2.589500
8	2.500000
8	2.490500
8	2.537000
8	2.476000
8	2.585500
8	2.467000
8	2.624000
8	2.485500
8	2.577000
8	2.722000
8	2.540000
8	2.416000
8	2.592000
8	2.404500
8	2.644500
8	2.585000
8	2.608000
8	2.430500
8	2.574500
8	2.702500
8	2.537500
8	2.548500
8	2.604000
8	2.520500
8	2.530500
8	2.626000
8	2.573000
8	2.573500
8	2.591000
8	2.695500
8	2.460500
8	2.455500
8	2.569500
8	2.539500
8	2.565500
8	2.447000
8	2.454000
8	2.500000
8	2.502500
8	2.482000
8	2.598000
8	2.619500
8	2.493000
8	2.546000
8	2.598000
8	2.509000
8	2.500500
8	2.418500
8	2.473000
8	2.434000
8	2.438500
8	2.408500
8	2.547500
8	2.667000
8	2.452000
8	2.538000
8	2.422500
8	2.610000
8	2.404000
8	2.676500
8	2.454000
8	2.528000
8	2.590000
8	2.644000
8	2.574500
8	2.558500
8	2.455000
8	2.582000
8	2.436500
8	2.462500
8	2.434000
8	2.477500
8	2.489000
8	2.572000
8	2.691500
8	2.451000
8	2.446500
8	2.451000
8	2.557500
8	2.595500
8	2.617000
8	2.546500
8	2.564000
8	2.539000
8	2.440500
8	2.470000
8	2.513000
8	2.425500
8	2.660000
8	2.589500
8	2.437500
8	2.558500
8	2.610500
8	2.431000
8	2.451000
8	2.553000
8	2.551500
8	2.678500
8	2.679500
8	2.484000
8	2.474000
8	2.497500
8	2.793500
8	2.640500
8	2.510500
8	2.558500
8	2.404500
8	2.652500
8	2.687000
8	2.536000
8	2.546000
