# Benchmark Method: selfish
# Compute-Cycle Duration: 1000 usec
# Number of Cycles/Detours: 100000
# Sysname : Linux
# Nodename: compute-permanent-node-509
# Release : 3.10.0-1160.25.1.el7.x86_64
# Version : #1 SMP Tue Apr 27 15:52:10 PDT 2021
# Machine : Linux
# Selfish Benchmark
# Minimal cycle length [ns]: 103.938533 
# Number of iterations (recorded+unrecorded): 1848268150 
# Threshold: [% minimal cycle length]: 900 
# 
# Time [ns]	selfish duration [ns]
0.00	2556.49
999320.02	1869.89
1998744.98	1784.94
2998147.96	3232.09
3997597.90	1785.94
4997011.87	3713.80
5996417.84	2350.61
6995812.82	1783.95
7995221.79	1604.05
8994651.74	5622.67
9994042.72	1861.90
10993459.69	1681.01
11992876.65	1533.09
12992270.63	1367.19
13991694.59	1547.09
14991100.56	1444.15
15990514.53	931.45
16989931.49	1671.01
17989319.48	946.44
18988751.43	1006.40
19988143.41	934.45
20987555.38	948.44
21986962.35	919.46
22986366.32	935.45
23985786.29	933.45
24985206.25	883.48
25984618.22	879.48
26984026.19	882.48
27983423.16	912.46
28982842.13	906.46
29982249.10	953.44
30981646.07	916.46
31981064.04	926.45
32980485.00	889.47
33979875.98	934.45
34979286.95	925.45
35978707.91	2685.41
36978071.91	904.47
37977524.85	955.43
38976938.82	1370.19
39976336.79	943.44
40975709.78	909.46
41975133.75	900.47
42974522.73	946.44
43973928.70	885.48
44973356.66	914.46
45972759.63	973.42
46972164.60	920.46
47971585.56	894.47
48970993.53	902.47
49970402.50	1234.27
50969816.47	869.49
51969229.44	917.46
52968633.41	925.45
53968048.38	889.47
54967442.35	886.48
55966857.32	952.44
56966255.30	922.45
57965683.25	875.48
58965088.23	940.44
59964501.19	961.43
60963909.16	1015.40
61963314.14	910.46
62962725.10	1106.35
63962123.08	3051.20
64961546.04	932.45
65960951.01	897.47
66960363.98	910.46
67959760.96	906.46
68959181.92	870.49
69958581.89	906.46
70958000.86	874.48
71957417.82	909.46
72956826.79	908.46
73956234.76	861.49
74955652.73	840.50
75955038.71	912.46
76954466.67	869.49
77953864.64	871.48
78953292.60	1488.12
