batch_size,avg_time_ms
1,0.012293
2,0.012347
3,0.012372
4,0.012447
5,0.012467
6,0.012470
7,0.012493
8,0.012498
9,0.012529
10,0.012554
11,0.012554
12,0.012585
13,0.012564
14,0.012600
15,0.012600
16,0.012593
17,0.012611
18,0.012603
19,0.012626
20,0.012621
21,0.012659
22,0.012652
23,0.012700
24,0.012705
25,0.012710
26,0.012756
27,0.012751
28,0.012777
29,0.012756
30,0.012813
31,0.012800
32,0.012805
33,0.012800
34,0.012831
35,0.012849
36,0.012874
37,0.012869
38,0.012867
39,0.012895
40,0.012897
41,0.012902
42,0.012941
43,0.012931
44,0.012913
45,0.012905
46,0.012892
47,0.012938
48,0.012923
49,0.012964
50,0.012961
51,0.012928
52,0.012964
53,0.012954
54,0.012964
55,0.012974
56,0.013000
57,0.012977
58,0.012974
59,0.012946
60,0.012974
61,0.012966
62,0.013015
63,0.013025
64,0.013028
65,0.013076
66,0.013069
67,0.013041
68,0.013079
69,0.013061
70,0.013084
71,0.013051
72,0.013071
73,0.013102
74,0.013100
75,0.013105
76,0.013130
77,0.013128
78,0.013140
79,0.013169
80,0.013199
81,0.013169
82,0.013210
83,0.013187
84,0.013192
85,0.013166
86,0.013202
87,0.013197
88,0.013192
89,0.013210
90,0.013202
91,0.013222
92,0.013222
93,0.013238
94,0.013207
95,0.013238
96,0.013243
97,0.013245
98,0.013204
99,0.013240
100,0.013281
101,0.013284
102,0.013271
103,0.013268
104,0.013315
105,0.013332
106,0.013348
107,0.013312
108,0.013353
109,0.013327
110,0.013345
111,0.013322
112,0.013350
113,0.013332
114,0.013361
115,0.013366
116,0.013338
117,0.013389
118,0.013394
119,0.013399
120,0.013404
121,0.013443
122,0.013417
123,0.013460
124,0.013440
125,0.013481
126,0.013455
127,0.013519
128,0.013486
129,0.020219
130,0.020234
131,0.020257
132,0.020232
133,0.020237
134,0.020255
135,0.020239
136,0.020285
137,0.020242
138,0.020283
139,0.020273
140,0.020291
141,0.020255
142,0.020283
143,0.020291
144,0.020308
145,0.020306
146,0.020278
147,0.020306
148,0.020316
149,0.020296
150,0.020293
151,0.020316
152,0.020314
153,0.020352
154,0.020329
155,0.020321
156,0.020329
157,0.020326
158,0.020339
159,0.020334
160,0.020352
161,0.020349
162,0.020342
163,0.020329
164,0.020372
165,0.020767
166,0.020370
167,0.020408
168,0.020380
169,0.020383
170,0.020396
171,0.020383
172,0.020396
173,0.020396
174,0.020393
175,0.020396
176,0.020393
177,0.020378
178,0.020383
179,0.020393
180,0.020424
181,0.020388
182,0.020378
183,0.020408
184,0.020416
185,0.020513
186,0.020426
187,0.020413
188,0.020431
189,0.020429
190,0.020424
191,0.020429
192,0.020439
193,0.020436
194,0.020421
195,0.020452
196,0.020449
197,0.020457
198,0.020439
199,0.020467
200,0.020480
201,0.020488
202,0.020470
203,0.020488
204,0.020457
205,0.020506
206,0.020488
207,0.020529
208,0.020559
209,0.020559
210,0.020557
211,0.020539
212,0.020572
213,0.020549
214,0.020539
215,0.020524
216,0.020559
217,0.020547
218,0.020575
219,0.020575
220,0.020536
221,0.020547
222,0.020557
223,0.020562
224,0.020564
225,0.020598
226,0.020582
227,0.020567
228,0.020588
229,0.020585
230,0.020585
231,0.020600
232,0.020608
233,0.020580
234,0.020623
235,0.020605
236,0.020598
237,0.020588
238,0.020600
239,0.020608
240,0.020608
241,0.020616
242,0.020628
243,0.020626
244,0.020636
245,0.020634
246,0.020634
247,0.020659
248,0.020644
249,0.020639
250,0.020636
251,0.020659
252,0.020636
253,0.020646
254,0.020649
255,0.020652
256,0.020641
257,0.029524
258,0.029522
259,0.029517
260,0.029524
261,0.029522
262,0.029519
263,0.029391
264,0.029425
265,0.029514
266,0.029519
267,0.029509
268,0.029527
269,0.029514
270,0.029540
271,0.029530
272,0.029509
273,0.029535
274,0.029532
275,0.029509
276,0.029507
277,0.030249
278,0.029512
279,0.029504
280,0.029491
281,0.029540
282,0.029512
283,0.029537
284,0.029540
285,0.029524
286,0.029545
287,0.029553
288,0.029548
289,0.029542
290,0.029550
291,0.029530
292,0.029530
293,0.029517
294,0.029522
295,0.029519
296,0.029553
297,0.029558
298,0.029955
299,0.029558
300,0.029553
301,0.029545
302,0.029532
303,0.029563
304,0.029524
305,0.029522
306,0.029524
307,0.029548
308,0.029540
309,0.029550
310,0.029565
311,0.029530
312,0.029563
313,0.029542
314,0.029550
315,0.029542
316,0.029560
317,0.029548
318,0.029548
319,0.029537
320,0.029550
321,0.029550
322,0.029573
323,0.029560
324,0.029553
325,0.029571
326,0.029573
327,0.029558
328,0.029553
329,0.029576
330,0.029553
331,0.029553
332,0.029537
333,0.029565
334,0.029553
335,0.029578
336,0.029576
337,0.029527
338,0.029563
339,0.029563
340,0.029568
341,0.029563
342,0.029583
343,0.029560
344,0.029563
345,0.029548
346,0.029578
347,0.029576
348,0.029576
349,0.029581
350,0.029565
351,0.029596
352,0.029576
353,0.029583
354,0.029573
355,0.029586
356,0.029581
357,0.029573
358,0.029560
359,0.029571
360,0.029568
361,0.029583
362,0.029594
363,0.029870
364,0.029596
365,0.029596
366,0.029596
367,0.029578
368,0.029601
369,0.029588
370,0.029606
371,0.029568
372,0.029601
373,0.029596
374,0.029606
375,0.029609
376,0.029583
377,0.029617
378,0.029617
379,0.029622
380,0.029594
381,0.029614
382,0.029606
383,0.029601
384,0.029606
385,0.038868
386,0.038851
387,0.038848
388,0.038845
389,0.038861
390,0.038866
391,0.038863
392,0.038866
393,0.039099
394,0.038833
395,0.038833
396,0.038851
397,0.038835
398,0.038848
399,0.038843
400,0.038866
401,0.038856
402,0.038843
403,0.038871
404,0.038853
405,0.038863
406,0.038835
407,0.038886
408,0.038861
409,0.038858
410,0.038838
411,0.038868
412,0.038856
413,0.038879
414,0.038904
415,0.038886
416,0.038884
417,0.038894
418,0.038894
419,0.038874
420,0.038902
421,0.039247
422,0.038884
423,0.038881
424,0.038909
425,0.038902
426,0.038917
427,0.038922
428,0.038912
429,0.038925
430,0.038932
431,0.038925
432,0.038915
433,0.038938
434,0.038915
435,0.038925
436,0.038904
437,0.038935
438,0.038904
439,0.038938
440,0.038940
441,0.038925
442,0.038945
443,0.038943
444,0.039137
445,0.038953
446,0.038948
447,0.038940
448,0.038935
449,0.038925
450,0.038953
451,0.038945
452,0.038945
453,0.038956
454,0.038950
455,0.038966
456,0.038961
457,0.038950
458,0.038956
459,0.038971
460,0.038945
461,0.038966
462,0.038958
463,0.038986
464,0.038986
465,0.038994
466,0.039007
467,0.038989
468,0.038989
469,0.039007
470,0.038984
471,0.038996
472,0.039004
473,0.039009
474,0.039022
475,0.038991
476,0.039012
477,0.039012
478,0.039037
479,0.039050
480,0.039020
481,0.039053
482,0.039043
483,0.039045
484,0.039037
485,0.039058
486,0.039037
487,0.039148
488,0.039030
489,0.039071
490,0.039063
491,0.039078
492,0.039086
493,0.039048
494,0.039112
495,0.039071
496,0.039091
497,0.039076
498,0.039094
499,0.039089
500,0.039068
501,0.039071
502,0.039109
503,0.039089
504,0.039122
505,0.039117
506,0.039081
507,0.039117
508,0.039107
509,0.039099
510,0.039122
511,0.039132
512,0.039130
513,0.048228
514,0.048220
515,0.048230
516,0.048223
517,0.048241
518,0.048251
519,0.048230
520,0.048253
521,0.048282
522,0.048284
523,0.048266
524,0.048289
525,0.048276
526,0.048292
527,0.048264
528,0.048276
529,0.048294
530,0.048292
531,0.048300
532,0.048282
533,0.048292
534,0.048300
535,0.048305
536,0.048315
537,0.048323
538,0.048287
539,0.048300
540,0.048287
541,0.048333
542,0.048300
543,0.048310
544,0.048320
545,0.048325
546,0.048340
547,0.048335
548,0.048335
549,0.048312
550,0.048328
551,0.048312
552,0.048325
553,0.048320
554,0.048328
555,0.048338
556,0.048353
557,0.048351
558,0.048343
559,0.048356
560,0.048369
561,0.048371
562,0.048358
563,0.048358
564,0.048338
565,0.048387
566,0.048374
567,0.048412
568,0.048384
569,0.048420
570,0.048404
571,0.048389
572,0.048397
573,0.048417
574,0.048415
575,0.048392
576,0.048422
577,0.048397
578,0.048410
579,0.048364
580,0.048412
581,0.048407
582,0.048420
583,0.048422
584,0.048415
585,0.048596
586,0.048448
587,0.048463
588,0.048440
589,0.048916
590,0.048448
591,0.048463
592,0.048440
593,0.048466
594,0.048438
595,0.048476
596,0.048461
597,0.048440
598,0.048458
599,0.048456
600,0.048474
601,0.048468
602,0.048489
603,0.048463
604,0.048458
605,0.048443
606,0.048448
607,0.048479
608,0.048476
609,0.048502
610,0.048497
611,0.048494
612,0.048481
613,0.048484
614,0.048502
615,0.048515
616,0.048748
617,0.048893
618,0.048484
619,0.048527
620,0.048502
621,0.048512
622,0.048525
623,0.048507
624,0.048535
625,0.048538
626,0.048530
627,0.048522
628,0.049172
629,0.048632
630,0.048525
631,0.048532
632,0.048543
633,0.048532
634,0.048553
635,0.048538
636,0.048543
637,0.048550
638,0.048545
639,0.048540
640,0.048548
641,0.057810
642,0.057807
643,0.057797
644,0.057777
645,0.057807
646,0.057792
647,0.057815
648,0.057815
649,0.057797
650,0.057836
651,0.057838
652,0.057820
653,0.057812
654,0.057841
655,0.057818
656,0.057828
657,0.057805
658,0.057833
659,0.057823
660,0.057841
661,0.057848
662,0.057810
663,0.057851
664,0.057828
665,0.057823
666,0.057823
667,0.057866
668,0.057828
669,0.057841
670,0.057828
671,0.057851
672,0.057830
673,0.057869
674,0.057879
675,0.057841
676,0.057864
677,0.057853
678,0.057876
679,0.057853
680,0.057853
681,0.057869
682,0.057874
683,0.057848
684,0.057869
685,0.057838
686,0.057894
687,0.057874
688,0.057869
689,0.057874
690,0.057869
691,0.057871
692,0.057861
693,0.057879
694,0.057869
695,0.057853
696,0.057856
697,0.057882
698,0.057866
699,0.057884
700,0.057902
701,0.057882
702,0.057894
703,0.057884
704,0.057905
705,0.057882
706,0.057928
707,0.057887
708,0.057894
709,0.057879
710,0.057887
711,0.057871
712,0.057882
713,0.057902
714,0.057874
715,0.057915
716,0.057915
717,0.057935
718,0.057925
