batch_size,avg_time_ms
1,0.007882
2,0.007892
3,0.007895
4,0.007887
5,0.007877
6,0.007890
7,0.007903
8,0.007910
9,0.007880
10,0.007895
11,0.007892
12,0.007895
13,0.007910
14,0.007900
15,0.007916
16,0.007908
17,0.007916
18,0.007905
19,0.007910
20,0.007951
21,0.007946
22,0.007939
23,0.007974
24,0.007956
25,0.007982
26,0.007972
27,0.007969
28,0.007959
29,0.007980
30,0.007959
31,0.007959
32,0.007949
33,0.007980
34,0.007962
35,0.007974
36,0.007972
37,0.007967
38,0.007964
39,0.007982
40,0.007977
41,0.007967
42,0.007956
43,0.007987
44,0.007969
45,0.007992
46,0.008008
47,0.008003
48,0.007990
49,0.007997
50,0.007987
51,0.007977
52,0.007964
53,0.007995
54,0.007980
55,0.007995
56,0.007987
57,0.007997
58,0.007982
59,0.008000
60,0.007992
61,0.008010
62,0.007980
63,0.008013
64,0.007992
65,0.008005
66,0.007997
67,0.008005
68,0.007995
69,0.008010
70,0.008010
71,0.008008
72,0.007982
73,0.008013
74,0.008000
75,0.008010
76,0.008008
77,0.008008
78,0.007997
79,0.008028
80,0.008028
81,0.008018
82,0.007990
83,0.008023
84,0.007997
85,0.008010
86,0.008013
87,0.008008
88,0.008003
89,0.008018
90,0.008018
91,0.008015
92,0.007995
93,0.008026
94,0.008010
95,0.008028
96,0.008015
97,0.008026
98,0.008005
99,0.008023
100,0.008033
101,0.008020
102,0.008003
103,0.008033
104,0.008008
105,0.008020
106,0.008028
107,0.008028
108,0.008013
109,0.008031
110,0.008041
111,0.008031
112,0.007992
113,0.008036
114,0.008018
115,0.008023
116,0.008033
117,0.008020
118,0.008018
119,0.008046
120,0.008044
121,0.008033
122,0.008000
123,0.008033
124,0.008015
125,0.008031
126,0.008026
127,0.008036
128,0.008036
129,0.008061
130,0.008049
131,0.008041
132,0.008044
133,0.008082
134,0.008036
135,0.008082
136,0.008056
137,0.008051
138,0.008038
139,0.008061
140,0.008046
141,0.008044
142,0.008046
143,0.008077
144,0.008046
145,0.008102
146,0.008051
147,0.008056
148,0.008041
149,0.008064
150,0.008051
151,0.008049
152,0.008054
153,0.008074
154,0.008046
155,0.008079
156,0.008059
157,0.008051
158,0.008041
159,0.008059
160,0.008056
161,0.008051
162,0.008056
163,0.008084
164,0.008049
165,0.008084
166,0.008054
167,0.008051
168,0.008049
169,0.008064
170,0.008054
171,0.008051
172,0.008049
173,0.008084
174,0.008049
175,0.008092
176,0.008061
177,0.008059
178,0.008044
179,0.008064
180,0.008056
181,0.008049
182,0.008051
183,0.008092
184,0.008051
185,0.008084
186,0.008056
187,0.008061
188,0.008044
189,0.008072
190,0.008056
191,0.008051
192,0.008046
193,0.008586
194,0.008056
195,0.008090
196,0.008054
197,0.008049
198,0.008033
199,0.008069
200,0.008054
201,0.008051
202,0.008056
203,0.008095
204,0.008059
205,0.008090
206,0.008061
207,0.008067
208,0.008046
209,0.008064
210,0.008051
211,0.008046
212,0.008061
213,0.008095
214,0.008059
215,0.008095
216,0.008067
217,0.008069
218,0.008061
219,0.008079
220,0.008059
221,0.008061
222,0.008067
223,0.008100
224,0.008059
225,0.008100
226,0.008069
227,0.008064
228,0.008069
229,0.008074
230,0.008061
231,0.008054
232,0.008067
233,0.008097
234,0.008061
235,0.008097
236,0.008069
237,0.008067
238,0.008051
239,0.008079
240,0.008061
241,0.008061
242,0.008064
243,0.008097
244,0.008061
245,0.008100
246,0.008067
247,0.008064
248,0.008056
249,0.008069
250,0.008079
251,0.008059
252,0.008069
253,0.008100
254,0.008064
255,0.008108
256,0.008069
257,0.008097
258,0.008084
259,0.008100
260,0.008092
261,0.008084
262,0.008077
263,0.008105
264,0.008092
265,0.008097
266,0.008102
267,0.008100
268,0.008087
