batch_size,avg_time_ms
1,0.069990
2,0.066570
3,0.066908
4,0.066867
5,0.067113
6,0.067236
7,0.067666
8,0.067799
9,0.067840
10,0.068209
11,0.068198
12,0.068147
13,0.068465
14,0.068731
15,0.069100
16,0.069263
17,0.069939
18,0.069571
19,0.069888
20,0.070093
21,0.070083
22,0.070052
23,0.070359
24,0.070287
25,0.070216
26,0.070349
27,0.070328
28,0.070410
29,0.070400
30,0.070595
31,0.070502
32,0.070636
33,0.070584
34,0.071660
35,0.071649
36,0.071834
37,0.071936
38,0.071854
39,0.071926
40,0.072335
41,0.072172
42,0.072120
43,0.072335
44,0.072571
45,0.072376
46,0.072561
47,0.072858
48,0.072612
49,0.072940
50,0.073339
51,0.072724
52,0.073114
53,0.073656
54,0.073288
55,0.073523
56,0.073431
57,0.073615
58,0.073748
59,0.073800
60,0.073564
61,0.073861
62,0.075950
63,0.074056
64,0.074107
65,0.078162
66,0.077906
67,0.078080
68,0.078500
69,0.078295
70,0.078172
71,0.078879
72,0.078664
73,0.078684
74,0.080148
75,0.078623
76,0.078500
77,0.079575
78,0.079340
79,0.078981
80,0.079575
81,0.079790
82,0.079677
83,0.080159
84,0.080230
85,0.078162
86,0.078100
87,0.077926
88,0.078203
89,0.078531
90,0.078377
91,0.078459
92,0.078623
93,0.078490
94,0.078909
95,0.080128
96,0.078787
97,0.078592
98,0.078633
99,0.078756
100,0.079012
101,0.078961
102,0.079462
103,0.079217
104,0.082012
105,0.079155
106,0.079340
107,0.079626
108,0.079514
109,0.079606
110,0.079288
111,0.079514
112,0.079698
113,0.079811
114,0.080015
115,0.080056
116,0.082872
117,0.080077
118,0.080312
119,0.080640
120,0.080466
121,0.080712
122,0.080548
123,0.080783
124,0.080835
125,0.080712
126,0.080916
127,0.081029
128,0.083446
129,0.101120
130,0.101151
131,0.101120
132,0.101253
133,0.101386
134,0.101222
135,0.101130
136,0.101263
137,0.101560
138,0.104131
139,0.101427
140,0.101315
141,0.101499
142,0.101315
